Institution Name,Main Office,Branch Name,Established Date (MMDDYYY),Acquired Date(MMDDYYY),Street Address,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
Citi Bank,0,balboa branch,05/18/1976,09/25/2008,11160 BALBOA BLVD,Los Angeles,CA,91344,34.27314,-118.50213,94360,99275,109049,114466,128029,142731,159455
Citi Bank,0,chatsworth street branch,06/30/1989,09/25/2008,17900 CHATSWORTH STREET,Los Angeles,CA,91344,34.26491,-118.52378,141452,144890,164115,166946,176937,193293,221837
Citi Bank,0,mission hills branch,1 de enero de 1919,09/25/2008,10348 N. SEPULVEDA BLVD.,Los Angeles,CA,91345,34.25811,-118.46725,83104,84157,87395,91455,94861,106865,118785
Citi Bank,0,saugus branch,12/18/2006,09/25/2008,26500 BOUQUET CANYON ROAD,Los Angeles,CA,91350,34.42745,-118.53683,24479,30108,34101,39472,45065,49079,73227
Citi Bank,0,laurel canyon branch,12/27/1988,09/25/2008,8301 LAUREL CANYON BLVD,Los Angeles,CA,91352,34.22175,-118.39658,86046,85990,91895,95139,100361,113809,127478
Citi Bank,0,vineland branch,1 de enero de 1926,09/25/2008,8040 VINELAND AVENUE,Los Angeles,CA,91352,34.21678,-118.37027,47575,48927,53209,56507,60629,66600,74573
Citi Bank,0,summerhill ln and mcbean pkwy branch,07/25/2005,09/25/2008,23910 SUMMERHILL LANE,Los Angeles,CA,91354,34.44644,-118.55357,39427,41469,43250,47850,46625,52519,61016
Citi Bank,0,mcbean parkway branch,1 de enero de 1919,09/25/2008,25882 MCBEAN PARKWAY,Los Angeles,CA,91355,34.40255,-118.55143,119330,123184,129956,137709,148199,152124,178074
Citi Bank,0,valencia main branch,01/01/1889,09/25/2008,24000 VALENCIA BOULEVARD,Los Angeles,CA,91355,34.41301,-118.55496,121640,120407,123761,127136,134623,147122,165758
Citi Bank,0,newhall branch,02/27/2006,09/25/2008,28194 NEWHALL RANCH ROAD,Los Angeles,CA,91355,34.44089,-118.571,23715,27224,32395,39338,43100,51575,63546
Citi Bank,0,magic mountain and mcbean pkwy branch,10 de agosto de 2013,,27057 MCBEAN PKWY,Los Angeles,CA,91355,34.42155,-118.56282,,,,,3708,8134,11237
Citi Bank,0,tarzana branch,1 de enero de 1919,09/25/2008,18705 VENTURA BLVD,Los Angeles,CA,91356,34.17076,-118.54094,203796,214163,237472,253697,283174,307430,345654
Citi Bank,0,ventura blvd and calvin branch,4 de mayo de 2004,09/25/2008,19436 VENTURA BLVD.,Los Angeles,CA,91356,34.17275,-118.55691,66103,66497,72004,70327,74150,73737,78652
Citi Bank,0,west hillcrest drive branch,01/01/1889,09/25/2008,148 WEST HILLCREST DRIVE,Ventura,CA,91360,34.1809,-118.88153,158472,151964,152332,153519,150815,167940,201267
Citi Bank,0,janss and moorpark branch,3 de marzo de 2003,09/25/2008,1678 MOORPARK RD,Ventura,CA,91360,34.20039,-118.86816,73132,73104,90470,89553,98305,113574,129122
Citi Bank,0,westlake village branch,01/01/1889,09/25/2008,248 HAMPSHIRE RD,Ventura,CA,91361,34.16436,-118.838,110133,111447,117873,119299,123788,119105,121469
Citi Bank,0,aguroa & westlake boulevard banking center branch,11/14/2012,,"1014 SOUTH WESTLAKE BOULEVARD, SUITE 18",Ventura,CA,91361,34.15217,-118.82885,,,,9013,21826,30140,54040
Citi Bank,0,east thousand oaks blvd branch,1 de enero de 1919,09/25/2008,3960 E THOUSANDOAKS BLVD,Ventura,CA,91362,34.16192,-118.82487,113787,123959,155231,172649,207119,236618,275525
Citi Bank,0,avenida de los arboles and erbes branch,11/30/2010,,2072 AVENIDA DE LOS ARBOLES,Ventura,CA,91362,34.21152,-118.84047,,7031,16685,27556,40238,51675,60588
Citi Bank,0,ventura woodland hills branch,06/30/1988,09/25/2008,22001 VENTURA BOULEVARD,Los Angeles,CA,91364,34.16851,-118.60616,83943,86940,99104,103463,114974,131032,159054
Citi Bank,0,winnetka woodland hills branch,12 de diciembre de 1994,09/25/2008,20040 VENTURA BOULEVARD,Los Angeles,CA,91364,34.17129,-118.56989,64811,68958,76607,89102,103115,105069,110501
Citi Bank,0,desoto and ventura branch,05/24/2016,,20900 VENTURA BLVD,Los Angeles,CA,91364,34.16641,-118.58866,,,,,,,2571
Citi Bank,0,stevenson ranch branch,7 de enero de 2002,09/25/2008,25880 THE OLD ROAD,Los Angeles,CA,91381,34.39198,-118.57378,54659,53800,56909,57340,68815,80568,88001
Citi Bank,0,castaic village branch,4 de enero de 2003,09/25/2008,31814 CASTAIC ROAD,Los Angeles,CA,91384,34.49701,-118.62283,25805,25104,29742,30167,34001,33642,37686
Citi Bank,0,canyon country branch,1 de enero de 1919,09/25/2008,16520 WEST SOLEDAD CANYON RD,Los Angeles,CA,91387,34.42671,-118.42561,97607,99048,103443,106909,120180,135313,156244
Citi Bank,0,van nuys branch,01/31/1981,09/25/2008,6300 VAN NUYS BLVD.,Los Angeles,CA,91401,34.185,-118.44875,111038,107284,117352,116185,119574,126930,139671
Citi Bank,0,van nuys blvd & burbank center branch,02/19/2013,,5555 VANS NUYS BOULEVARD,Los Angeles,CA,91401,34.17829,-118.43131,,,,6303,19933,27814,38280
Citi Bank,0,panorama city branch,5 de mayo de 1965,09/25/2008,8450 VAN NUYS BLVD,Los Angeles,CA,91402,34.22425,-118.44863,136165,134675,137286,133853,137508,152669,188358
Citi Bank,0,noble & ventura banking center,3 de enero de 2013,,15100 VENTURA BOULEVARD,Los Angeles,CA,91403,34.15309,-118.46185,,,,5071,206982,227638,280893
Citi Bank,0,sepulveda and sherman way branch,11/14/2005,09/25/2008,7108 SEPULVEDA BLVD,Los Angeles,CA,91405,34.19993,-118.46614,32574,35618,48789,42832,46333,55511,68423
Citi Bank,0,lake balboa branch,01/17/1995,09/25/2008,17200 SATICOY STREET,Los Angeles,CA,91406,34.20839,-118.50772,70380,91985,99769,105999,119322,123277,129953
