branch_key,branch_name,branch_address,branch_city,branch_state,branch_zip
1,boston branch,"50 ROWES WHARF, FLOOR 4",Suffolk,MA,2110.0
2,milford (ford street) branch,370 BOSTON POST ROAD,New Haven,CT,6460.0
3,milford banking center branch,1651 BOSTON POST ROAD,,CT,6460.0
4,monroe ct branch,456 MONROE TURNPIKE,Fairfield,CT,6468.0
5,newtown branch,30 CHURCH HILL ROAD,Fairfield,CT,6470.0
6,boston post road & racebrook banking center,262 BOSTON POST ROAD,New Haven,CT,6477.0
7,shelton branch,675 BRIDGEPORT AVENUE,Fairfield,CT,6484.0
8,southbury green banking ctr branch,775 MAIN STREET SOUTH,New Haven,CT,6488.0
9,new haven church street branch,234 CHURCH STREET,New Haven,CT,6510.0
10,woodbridge amity rte 15 branch,149 AMITY ROAD,New Haven,CT,6515.0
11,bridgeport west side branch,1460 STATE STREET,Fairfield,CT,3324125.0
12,bridgeport north end branch,2125 MAIN STREET,Fairfield,CT,
13,bridgeport boston avenue branch,123 BOSTON AVENUE,Fairfield,CT,6610.0
14,trumbull quality street branch,"80 QUALITY STREET, TOWN HALL SC",Fairfield,CT,6611.0
15,trumbull center banking center branch,958 WHITE PLAINS ROAD,,CT,6611.0
16,stratford barnum avenue branch,2855 MAIN STREET,Fairfield,CT,6614.0
17,bethel library place bnkg ctr branch,9 DURANT AVE,Fairfield,CT,6801.0
18,cos cob banking center branch,371 EAST PUTNAM AVENUE,Fairfield,CT,6807.0
19,stony hill branch,111 NEWTON ROAD,Fairfield,CT,6810.0
20,danbury shoprite branch,"1-A PADANARAMA ROAD, NORTH STREET SC",Fairfield,CT,6811.0
21,danbury lake ave branch,42 LAKE AVE EXT,,CT,6811.0
22,federal road danbury,99 FEDERAL ROAD,,CT,6811.0
23,darien branch,454 POST ROAD,Fairfield,CT,6820.0
24,noroton heights banking ctr branch,165 NOROTON AVENUE,Fairfield,CT,6820.0
25,fairfield center branch,1401 POST ROAD,Fairfield,CT,6824.0
26,greenfield hill branch,161 HILLSIDE ROAD,Fairfield,CT,6824.0
27,fairfield kings crossing bnk ctr branch,340 GRASMERE AVENUE,Fairfield,CT,6824.0
28,fairfield woods branch,2272 BLACK ROCK TURNPIKE,Fairfield,,6825.0
29,greenwich financial center branch,3A PICKWICK PLAZA,Fairfield,,6830.0
30,mason street private banking branch,"191 MASON STREET, ELM STREET",Fairfield,,6830.0
31,greenwich avenue branch,197 GREENWICH AVENUE,,,6830.0
32,west putnam and valley branch,500 WEST PUTNAM AVENUE,,,6830.0
33,greenwich deerfield branch,111 W PUTNAM AVE,,,6830.0
34,glenville branch,21 GLENVILLE STREET,,,6831.0
35,banksville branch,1073 NORTH STREET,,,6831.0
36,new canaan branch,21 EAST AVENUE,Fairfield,,6840.0
37,new canaan drive-in branch,21 EAST AVENUE,Fairfield,,6840.0
38,norwalk waypointe branch,515 WEST AVENUE,Fairfield,,6850.0
39,south norwalk branch,50 WASHINGTON STREET,Fairfield,,6854.0
40,greenwich branch,260 SOUND BEACH AVENUE,Fairfield,CT,6870.0
41,ridgefield branch,92-98 GROVE STREET,Fairfield,CT,6877.0
42,riverside branch,1150 EAST PUTNAM AVENUE,Fairfield,CT,6878.0
43,westport main street branch,184 MAIN STREET,Fairfield,CT,6880.0
44,greens farms branch,1090 POST ROAD EAST,,CT,6880.0
45,southport branch,292 PEQUOT AVENUE,Fairfield,CT,6890.0
46,south wilton branch,34 DANBURY ROAD,Fairfield,CT,6897.0
47,wilton center branch,33 OLD RIDGEFIELD ROAD,,CT,6897.0
48,georgetown danbury road banking center,920 DANBURY ROAD,,CT,6897.0
49,stamford prospect street branch,45 PROSPECT STREET,Fairfield,CT,6901.0
50,high ridge road branch,1037 HIGH RIDGE ROAD,,CT,6905.0
51,stamford newfield avenue branch,559 NEWFIELD AVENUE,Fairfield,CT,6905.0
52,avenel branch,1342 ST. GEORGES AVENUE,Middlesex,NJ,7001.0
53,bayonne 20th st branch,439 BROADWAY,,NJ,7002.0
54,bayonne 30th st branch,650 BROADWAY,Hudson,NJ,7002.0
55,fairfield corp ctr middle mkt branch,695 ROUTE 46 WEST,,NJ,7004.0
56,fairfield passaic branch,387 PASSAIC AVENUE,Essex,NJ,7004.0
57,boonton branch,"530 MYRTLE AVENUE, A&P",,NJ,7005.0
58,boonton monroe branch,100 MONROE STREET,Morris,NJ,
59,west caldwell branch,865 BLOOMFIELD AVENUE,Essex,nj,3324125.0
60,cedar grove pompton branch,664 POMPTON AVENUE,Essex,nj,3324125.0
61,clifton branch,1459 MAIN AVENUE,Passaic,nj,
62,clifton van houten branch,963 VAN HOUTEN AVENUE,Passaic,nj,7013.0
63,cranford banking center branch,40 SOUTH AVENUE WEST,Union,nj,7016.0
64,edgewater branch,725 RIVER ROAD,Bergen,nj,7020.0
65,river rd and tower dr branch,950 RIVER ROAD,Bergen,nj,7020.0
66,fairview branch,153 BERGEN BLVD,Bergen,nj,7022.0
67,fort lee branch,188-190 MAIN STREET,Bergen,nj,7024.0
68,garfield branch,136 PASSAIC STREET,Bergen,nj,7026.0
69,hoboken branch,125 RIVER STREET,Hudson,nj,7030.0
70,hoboken 14th st and garden branch,200 14TH STREET,Hudson,nj,7030.0
71,north arlington branch,23 RIDGE ROAD,Bergen,nj,7031.0
72,kearny banking center branch,272 KEARNY AVAENUE,Hudson,nj,7032.0
73,kearny ave branch,11 KEARNY AVENUE,Hudson,nj,7032.0
74,lake hiawatha branch,53 NORTH BEVERWYCK ROAD,Morris,nj,7034.0
75,linden branch,235 NORTH WOOD AVENUE,Union,NJ,7036.0
76,livingston banking center branch,56 WEST MOUNT PLEASANT AVENUE,Essex,NJ,7039.0
77,millburn banking center branch,279 MILLBURN AVENUE,Essex,NJ,7041.0
78,millburn driveup branch,281 MILLBURN AVENUE,,NJ,7041.0
79,montclair branch,19 NORTH FULLERTON AVENUE,,NJ,7042.0
80,watchung plaza branch,17 WATCHUNG PLAZA,,NJ,7042.0
81,montclair - private banking branch,483 BLOOMFIELD AVENUE,,NJ,7042.0
82,montclair drive-in branch,19 NORTH FULLERTON AVENUE,Essex,NJ,7042.0
83,upper montclair branch,580 VALLEY ROAD,Essex,NJ,7043.0
84,upper montclair drive-in branch,580 VALLEY ROAD,Essex,NJ,7043.0
85,verona branch,566 BLOOMFIELD AVENUE,Essex,NJ,
86,verona pompton branch,30 POMPTON AND CLAREMONT AVENUE,Essex,NJ,
87,north bergen branch,8101 TONNELLE AVENUE,Hudson,NJ,7047.0
88,orange - main street branch,300 MAIN STREET,Essex,NJ,7050.0
89,parsippany road branch,100 PARSIPPANY ROAD,Morris,NJ,7054.0
90,passaic - main avenue branch,620 MAIN AVENUE,Passaic,NJ,7055.0
91,wallington branch,93 MAIN AVENUE,Bergen,NJ,7057.0
92,mount pleasant branch,2 MOUNT PLEASANT AVENUE,,NJ,7057.0
93,warren mt bethel rd branch,"9 MOUNT BETHEL RD, STE 211",Somerset,NJ,7059.0
94,plainfield banking center branch,200 WEST 2ND STREET,Union,NJ,7060.0
95,roseland branch,28 EISENHOWER PARKWAY,Essex,NJ,7068.0
96,watchung branch,1605 US HWY 22,Somerset,NJ,7069.0
97,watching circle banking ctr branch,60 STIRLING ROAD,Somerset,NJ,7069.0
98,rutherford branch,24 PARK AVENUE,Bergen,NJ,7070.0
99,ridge branch,301 RIDGE ROAD,Bergen,NJ,7071.0
100,east rutherford branch,90 HACKENSACK STREET,Bergen,NJ,7073.0
101,short hills branch,800 MORRIS TURNPIKE,Essex,NJ,7078.0
102,south orange branch,18 S. ORANGE AVENUE,Essex,NJ,7079.0
103,south plainfield banking ctr branch,5201 STELTON ROAD,Middlesex,NJ,7080.0
104,union stuyvesant branch,1224 STUYVESANT AVE,Union,NJ,7083.0
105,union city branch,"3196 KENNEDY BOULEVARD, KENNEDY CENTER",Hudson,NJ,7087.0
106,westfield branch,302 EAST BROAD STREET,Union,NJ,7090.0
107,bergenline branch,4921 BERGENLINE AVENUE,Hudson,NJ,7093.0
108,harmon tower branch,1 HARMON PLAZA,,NJ,7094.0
109,harmon meadow branch,450 PLAZA DRIVE,Hudson,NJ,7094.0
110,woodbridge shopping center branch,877 SAINT GEORGE AVENUE,Middlesex,NJ,7095.0
111,newark branch,744 BROAD STREET,Essex,NJ,7102.0
112,newark - broad & fulton branch,570 BROAD STREET,Essex,NJ,7102.0
113,belleville franklin street branch,181 FRANKLIN STREET,Essex,NJ,7109.0
114,nutley center st branch,351 CENTRE ST.,Essex,NJ,7110.0
115,roselle branch,700 EAST 1ST AVENUE,Union,NJ,7203.0
116,hillside branch,1152 LIBERTY AVENUE,Union,NJ,7205.0
117,elizabeth north broad banking ctr branch,339 NORTH BROAD STREET,Union,NJ,7208.0
118,christopher columbus branch,56 CHRISTOPHER COLUMBUS DR,Hudson,NJ,7302.0
119,journal square branch,2 JOURNAL SQUARE PLZ,Hudson,NJ,7306.0
120,the heights branch,374 CENTRAL AVENUE,Hudson,NJ,7307.0
121,newport center branch,575 WASHINGTON BOULEVARD,Hudson,NJ,7310.0
122,custodial trust company branch,575 WASHINGTON BOULEVARD,Hudson,nj,7310.0
123,elmwood park branch,179 MARKET STREET,Bergen,nj,7407.0
124,route 4 elmwood park branch,100 BROADWAY (ELMWOOD PK),Bergen,nj,7407.0
125,fair lawn branch,13-51 RIVER ROAD,Bergen,nj,7410.0
126,broadway fairlawn branch,27-02 BROADWAY,Bergen,nj,7410.0
127,radburn branch,21-01 FAIR LAWN AVENUE,Bergen,nj,7410.0
128,franklin branch,300 STATE ROUTE 23,Sussex,nj,7416.0
129,becton dickinson corporate branch,1 BECTON DRIVE,,nj,7417.0
130,franklin lakes branch,845 FRANKLIN LAKES ROAD,,nj,7417.0
131,woodland park branch,989 MCBRIDE AVENUE,Passaic,nj,7424.0
132,midland park branch,129 GODWIN AVENUE,Bergen,nj,7432.0
133,oakland ramapo valley rd branch,345 RAMAPO VALLEY ROAD,Bergen,nj,7436.0
134,jefferson township branch,5742 BERKSHIRE VALLEY ROAD,Morris,nj,7438.0
135,mahwah banking center branch,555 NORTH FRANKLIN TURNPIKE,Bergen,nj,7446.0
136,ramsey north spruce branch,18 NORTH SPRUCE ST,Bergen,nj,7446.0
137,ridgewood branch,84 EAST RIDGEWOOD AVENUE EAST,Bergen,nj,7450.0
138,godwin avenue branch,67 GODWIN AVENUE,Bergen,nj,7450.0
139,riverdale branch,20 HAMBURG TURNPIKE,Morris,nj,
140,sussex branch,59 MAIN STREET,Sussex,nj,7461.0
141,wantage branch,295 ROUTE 23,Sussex,nj,7461.0
142,vernon rt 515 branch,550 COUNTY ROAD 515,Sussex,nj,7462.0
143,wayne valley road branch,1401 VALLEY ROAD,Passaic,NJ,7470.0
144,wyckoff branch,525 CEDAR HILL AVENUE,Bergen,NJ,7481.0
145,paterson branch,1117 MAIN ST #19,Passaic,NJ,7503.0
146,patterson market branch,148 MARKET STREET,,NJ,7505.0
147,hawthorne branch,331 LAFAYETTE AVENUE,Passaic,NJ,7506.0
148,haledon branch,396 HALEDON AVENUE,Passaic,NJ,7508.0
149,totowa union blvd branch,169 UNION BLVD,Passaic,NJ,7512.0
150,hackensack branch,505 MAIN STREET,Bergen,NJ,7601.0
151,riverfront plaza branch,500 S. RIVER STREET,Bergen,NJ,7601.0
152,bergen mall branch,177 W SPRING VALLEY AVE,Bergen,NJ,7607.0
153,bergenfield branch,221 NORTH WASHINGTON AVENUE,Bergen,NJ,7621.0
154,englewood branch,55 WEST PALISADES AVENUE,Bergen,NJ,7631.0
155,englewood branch,50 GRAND AVENUE,Bergen,NJ,7631.0
156,haworth branch,139 TERRACE STREET,Bergen,NJ,7641.0
157,essex street branch,370 ESSEX STREET,Bergen,NJ,7644.0
158,montvale banking center branch,22A CHESTNUT RIDGE ROAD,Bergen,NJ,7645.0
159,new milford - river road branch,830 RIVER ROAD,Bergen,NJ,7646.0
160,northvale banking center branch,"271 LIVINGSTON STREET, SUITE A",Bergen,NJ,7647.0
161,norwood broadway branch,588 BROADWAY AND LIVINGSTON STREET,Bergen,NJ,7648.0
162,oradell branch,417 KINDERKAMACK ROAD,Bergen,NJ,7649.0
163,palisades park branch,460 BERGEN BOULEVARD,Bergen,NJ,7650.0
164,midland avenue branch,36 EAST MIDLAND AVENUE,Bergen,NJ,7652.0
165,paramus - private banking branch,36 MIDLAND AVENUE EAST,,NJ,7652.0
166,paramus branch,312 FOREST AVENUE,,NJ,7652.0
167,park ridge ridgemont branch,169 KINDERKAMACK ROAD,Bergen,NJ,7656.0
168,boulevard branch,504 BERGEN BOULEVARD,Bergen,NJ,7657.0
169,river edge branch,686 KINDERKAMACK ROAD,Bergen,NJ,7661.0
170,saddle brook branch,289 MARKET STREET,Bergen,NJ,7662.0
171,the plaza branch,170 THE PLAZA,Bergen,NJ,7666.0
172,cedar lane branch,205 CEDAR LANE,Bergen,NJ,7666.0
173,teaneck banking center branch,627 CEDAR LANE,Bergen,NJ,7666.0
174,tenafly banking center branch,115 COUNTY ROAD,Bergen,NJ,7670.0
175,westwood branch,499 BROADWAY,Bergen,NJ,7675.0
176,old tappan branch,216 OLD TAPPAN ROAD,Bergen,NJ,7675.0
177,red bank branch,32 BROAD STREET,Monmouth,NJ,7701.0
178,north red bank banking center branch,430 STATE ROUTE 35,Monmouth,NJ,7701.0
179,shrewsbury branch,1150 BROAD STREET,Monmouth,NJ,7702.0
180,new bedford branch,2601 STATE ROUTE 138,Monmouth,NJ,7719.0
181,bradley beach branch,500 MAIN STREET,Monmouth,NJ,7720.0
182,colts neck banking center branch,290 STATE ROUTE 34,Monmouth,NJ,7722.0
183,deal branch,50 ATLANTIC AVE.,Monmouth,NJ,7723.0
184,marlboro plaza branch,146 US HWY 9,Monmouth,NJ,7726.0
185,towne pointe center branch,"357 NEW JERSEY HWY 9 S, STE 1",Monmouth,NJ,7726.0
186,freehold branch,61 WEST MAIN STREET,Monmouth,NJ,
187,west freehold branch,302 W MAIN ST,Monmouth,NJ,
188,east manalanpan bnkg ctr branch,4413 US HIGHWAY 9,Monmouth,NJ,7728.0
189,hazlet branch,2983 ST RTE 35,Monmouth,NJ,7730.0
190,north howell banking center branch,1998 US HIGHWAY 9,Monmouth,NJ,7731.0
191,long branch banking center branch,160 BRIGHTON AVENUE,Monmouth,NJ,7740.0
192,aberdeen shoprite branch,318 LLOYD ROAD,Monmouth,NJ,7747.0
193,middletown shoprite branch,"1361 ST RTE 35, STE 1",Monmouth,NJ,7748.0
194,neptune banking center branch,3550 ROUTE 66,Monmouth,NJ,7753.0
195,spring lake branch,1310 THIRD AVENUE,Monmouth,NJ,7762.0
196,dover branch,1 EAST CLINTON STREET,Morris,NJ,7801.0
197,montague branch,14 ROUTE 23,Sussex,NJ,7827.0
198,denville branch,57 DIAMOND SPRING RD,Morris,NJ,7834.0
199,hackettstown branch,227 MOUNTAIN AVENUE,Warren,NJ,7840.0
200,lake hopatcong branch,15 BOWLING GREEN PARKWAY,Morris,NJ,7849.0
201,roxbury branch,1250 NEW JERSEY HIGHWAY 46,Morris,NJ,7852.0
202,andover branch,241 NEWTON-SPARTA ROAD,Sussex,NJ,7860.0
203,hampton rt 206 branch,120 HAMPTON HOUSE ROAD,Sussex,NJ,7860.0
204,rockaway branch,16 GREEN POND ROAD,Morris,NJ,7866.0
205,randolph rt 10 branch,80 DOVER CHESTER ROAD,Morris,NJ,7869.0
206,mount freedom sussex branch,1199 SUSSEX TURNPIKE,,NJ,7869.0
207,sparta branch,27 SPARTA AVENUE,Sussex,NJ,7871.0
208,summit branch,67-69 SUMMIT AVENUE,Union,NJ,7901.0
209,pluckemin banking center branch,215 US HWY 202 206,Somerset,NJ,7921.0
210,bedminster branch,2484 LAMINGTON ROAD,Somerset,NJ,7921.0
211,berkeley heights branch,96 SNYDER AVENUE,Union,NJ,7922.0
212,bernardsville branch,54 MORRISTOWN ROAD,Somerset,NJ,7924.0
213,chatham banking center branch,215 MAIN STREET,Morris,NJ,7928.0
214,chester and east main street branch,44 MAIN STREET,Morris,NJ,7930.0
215,florham park branch,186 RIDGEDALE AVENUE,Morris,NJ,7932.0
216,florham park branch,77 HANOVER ROAD,Morris,NJ,7932.0
217,east hanover branch,399 RIDGEDALE AVENUE,Morris,NJ,7936.0
218,madison waverly branch,2 WAVERLY PLACE,Morris,NJ,7940.0
219,morris plains branch,599 SPEEDWELL AVENUE,,NJ,7950.0
220,morris plains - route 10 branch,1711 STAR ROUTE 10,Morris,NJ,7950.0
221,south street branch,225 SOUTH STREET,Morris,NJ,7960.0
222,morristown - private banking branch,225 SOUTH STREET,,NJ,7960.0
223,new vernon branch,15 VILLAGE ROAD,Morris,NJ,7976.0
224,stirling branch,1300 VALLEY ROAD,Morris,NJ,7980.0
225,whippany village banking center branch,480 STATE ROUTE 10,Morris,NJ,7981.0
226,doc cramer boulevard branch,447 MARTIN TRUEX JR BOULEVARD,Ocean,NJ,8050.0
227,east windsor banking center branch,392 NEW JERSEY HWY 130,Mercer,NJ,8520.0
228,jackson banking center branch,332 NORTH COUNTY LINE ROAD,Ocean,NJ,8527.0
229,hopewell banking center branch,795 DENOW ROAD,Mercer,NJ,8534.0
230,princeton branch,16 NASSAU STREET,Mercer,NJ,8542.0
231,west windsor branch,63 PRINCETON HIGHTSTOWN RD,Mercer,NJ,8550.0
232,trenton south broad street branch,"2735 SOUTH BROAD STREET, SUITE 3",,NJ,8610.0
233,TRENTON ROEBLING MARKET BANKING CENTER BRANCH,635 SOUTH CLINTON AVENUE,Mercer,NJ,8611.0
234,EWING BRANCH,1852 N OLDEN AVE,Mercer,NJ,8638.0
235,LAWRENCEVILLE SHOPRITE BRANCH,3373 RTE 1,Mercer,NJ,
236,HAMILTON SQUARE BANKING CTR BRANCH,955 HIGHWAY 33,Mercer,NJ,8690.0
237,HAMILTON MARKETPLACE BRANCH,525 MARKET PLACE BOULEVARD,Mercer,NJ,8691.0
238,LAKEWOOD BRANCH,75 EAST KENNEDY BOULEVARD,Ocean,NJ,8701.0
239,LAKEWOOD PLAZA BRANCH,1700 MADISON AVENUE,Ocean,NJ,8701.0
240,MARKET PLACE AT BRICK BRANCH,499 ROUTE 70,Ocean,NJ,8723.0
241,FORKED RIVER BANKING CENTER,744 LACEY ROAD,Ocean,NJ,8731.0
242,MANASQUAN BRANCH,2500 ROUTE 35,Monmouth,NJ,8736.0
243,TOMS RIVER BRANCH,24 MAIN STREET,Ocean,NJ,8753.0
244,MANCHESTER PLAZA BRANCH,1059 RTE 70,Ocean,NJ,8759.0
245,BOUND BROOK BRANCH,427 W UNION AVE,Somerset,NJ,8805.0
246,EAST BRUNSWICK BANKING CENTER BRANCH,629 ROUTE 18,Middlesex,NJ,8816.0
247,CRANBURY ROAD EAST BRUNSWICK BANKING CENTER,"591 CRANBURY ROAD, STE 100",Middlesex,NJ,8816.0
248,DURHAM CENTER BRANCH,"4 ETHEL ROAD, SUITE 403A",Middlesex,NJ,8817.0
249,EDISON BANKING CENTER BRANCH,2163 OAK TREE ROAD,,NJ,8820.0
250,FLEMINGTON CIRCLE BRANCH,"75 REAVILLE AVENUE, SUITE 2",Hunterdon,NJ,8822.0
251,NORTH FLEMINGTON BRANCH,318 STATE ROUTE 31,Hunterdon,NJ,8822.0
252,FRANKLIN PARK BANKING CENTER BRANCH,3333 STATE ROUTE 27,Somerset,NJ,8823.0
253,JAMESBURG BANKING CENTER BRANCH,5 EAST RAILROAD AVENUE,Middlesex,NJ,8831.0
254,MONROE APPLEGARTH BANKING CTR BRANCH,320 APPLEGARTH ROAD,Middlesex,NJ,8831.0
255,SPOTSWOOD ENGLISHTOWN RD BRANCH,365 SPOTSWOOD-ENGLISHTOWN ROAD (MONROE),Middlesex,NJ,8831.0
256,RARITAN CENTER EDISON BRANCH,110 FIELDCREST AVENUE,Middlesex,NJ,8837.0
257,METUCHEN BRANCH,475 MAIN STREET,Middlesex,NJ,8840.0
258,HILLSBOROUGH HAMILTON AVENUE BANKING CENTER,381 US 206,Somerset,NJ,8844.0
259,SOUTH BRUNSWICK BANKING CNTR BRANCH,"4180 US ROUTE 1 NORTH, BLDG 300",Middlesex,NJ,8852.0
260,PISCATAWAY BRANCH,233 STELTON ROAD,Middlesex,NJ,8854.0
261,OLD BRIDGE BRANCH,20 BUSHNELL ROAD,Middlesex,NJ,8857.0
262,PERTH AMBOY BANKING CENTER BRANCH,130 SMITH STREET,Middlesex,NJ,8861.0
263,SOMERSET EASTON AVE BRANCH,940 EASTON AVENUE,Somerset,NJ,8873.0
264,FRANKLIN TOWNSHIP BRANCH,460 ELIZABETH AVE,Somerset,NJ,8873.0
265,SOMERVILLE BRANCH,6 SOUTH DAVENPORT STREET,Somerset,NJ,8876.0
266,BRANCHBURG SHOPRITE BRANCH,3166 STATE HWY 22 W,Somerset,NJ,8876.0
267,NEW BRUNSWICK BRANCH,133 NEILSON STREET,Middlesex,NJ,8901.0
268,GEORGE ST AND CHURCH BRANCH,390 GEORGE STREET,Middlesex,NJ,8901.0
269,NORTH BRUNSWICK BANKING CENTER BRANCH,1550 GEORGES ROAD,Middlesex,NJ,8902.0
270,FIT SEVENTH AVENUE BRANCH,305 SEVENTH AVENUE,Nyork,NY,10001.0
271,MADISON SQUARE GARDEN BRANCH,2 PENNSYLVANIA PLAZA,Nyork,NY,10001.0
272,JAVITS CONVENTION CENTER BRANCH,655 WEST 34TH STREET,Nyork,NY,10001.0
273,PENN STATION - CTCC BRANCH,"132 WEST 31ST STREET, GREENLY BUILDI",Nyork,NY,10001.0
274,NORTH CHELSEA BRANCH,245 7TH AVE,NVY,NY,10001.0
275,BROADWAY AND 32ND BRANCH,1260 BROADWAY,NVY,NY,10001.0
276,DELANCEY STREET BRANCH,109 DELANCEY STREET,NVY,NY,10002.0
277,UNIVERSITY PLACE BRANCH,32 UNIVERSITY PLACE,NVY,NY,10003.0
278,STUYVESANT TOWN BRANCH,255-257 FIRST AVENUE,NVY,NY,10003.0
279,WEST 14TH STREET BRANCH,69 5TH AVENUE,NVY,NY,10003.0
280,ASTOR PLACE BANKING CENTER BRANCH,26 ASTOR PLACE,NVY,NY,10003.0
281,BROADWAY & 10TH STREET BKG. CTR. BRANCH,785 BROADWAY,Nyork,NY,10003.0
282,SECOND AVE AND 10TH ST BRANCH,156 SECOND AVE,Nyork,NY,3324125.0
283,UNION SQUARE BRANCH,230 PARK AVENUE SOUTH,Nyork,NY,3324125.0
284,BOWERY & FIRST BANKING CENTER BRANCH,305 BOWERY,Nyork,NY,10003.0
285,THIRD AVE & 19TH ST BNKG CTR BRANCH,233 THIRD AVENUE,Nyork,NY,10003.0
286,BROADWAY AND 13TH BRANCH,835 BROADWAY,Nyork,NY,10003.0
287,PRUDENTIAL SECURITIES BRANCH,1 NEW YORK PLAZA,Nyork,NY,10004.0
288,BROADWAY MORRIS EXCHANGE BRANCH,42 BROADWAY,Nyork,NY,10004.0
289,SELECT DIRECT I BRANCH,"1 CHASE MANHATTAN PLAZA, 33RD FLOOR",Nyork,NY,10005.0
290,CHASE PLAZA BRANCH,28 LIBERTY ST,New York,NY,10005.0
291,SELECT DIRECT II BRANCH,"1 CHASE MANHATTAN PLAZA, 33RD FLOOR",New York,NY,10005.0
292,MORGAN GUAR. TR. CO. OF NY BRANCH,60 WALL STREET,New York,NY,10005.0
293,WALL STREET AND WILLIAMS BRANCH,45 WALL STREET,New York,NY,10005.0
294,BARCLAY ST BRANCH,101 BARCLAY STREET,New York,NY,10007.0
295,CITY HALL BANKING CENTER BRANCH,253 BROADWAY,,NY,10007.0
296,BROADWAY & CHAMBRS BRANCH,270 BROADWAY,,NY,10007.0
297,SIXTH AVENUE AND 23RD ST BRANCH,71 WEST 23RD STREET,New York,NY,10010.0
298,CS FIRST BOSTON CORP CASHIER BRANCH,11 MADISON AVENUE,New York,NY,10010.0
299,FIFTH AVENUE AND 27TH STREET BRANCH,225 5TH AVENUE,New York,NY,10010.0
300,FIFTH AVENUE AND 21ST STREET BRANCH,162 FIFTH AVENUE,New York,NY,10010.0
301,PETER COOPER BRANCH,333 E 23RD ST,New York,NY,10010.0
302,LONDON TERRACE BRANCH,475 WEST 23RD STREET,New York,NY,10011.0
303,CHELSEA BRANCH,"158 WEST 14TH STREET, 2ND FLOOR",New York,NY,10011.0
304,SIXTH AVE & WEST 28TH ST BNKG BRANCH,611 6TH AVENUE,New York,NY,10011.0
305,GREENWICH VILLAGE BRANCH,340 AVENUE OF THE AMERICAS,,NY,10011.0
306,EIGHTH AVE AND 15TH BRANCH,111 8TH AVE,,NY,10011.0
307,SOHO BRANCH,525 BROADWAY,New York,NY,10012.0
308,NOHO BRANCH,623 BROADWAY,New York,NY,10012.0
309,BROADWAY LISPENARD BRANCH,407 BROADWAY,New York,NY,10013.0
310,CHINATOWN BRANCH,180 CANAL STREET,New York,NY,10013.0
311,GRAND STREET BRANCH,231 GRAND STREET,New York,NY,10013.0
312,CHATHAM SQUARE BRANCH,2 BOWERY,New York,NY,10013.0
313,TRIBECA BANKING CENTER BRANCH,65 WORTH STREET,New York,NY,10013.0
314,CANAL ST AND BAXTER BRANCH,221 CANAL STREET,New York,NY,10013.0
315,SHERIDAN SQUARE BRANCH,204 WEST FOURTH STREET,New York,NY,10014.0
316,HUDSON STREET BRANCH,345 HUDSON STREET,,NY,10014.0
317,ABINGDON SQUARE BRANCH,302 WEST 12TH STREET,,NY,10014.0
318,EMPIRE STATE BRANCH,349 FIFTH AVENUE AND 34TH STREET,New York,NY,10016.0
319,NEW YORK LIFE BRANCH,386 PARK AVENUE SOUTH,New York,NY,10016.0
320,MURRAY HILL BRANCH,450 THIRD AVENUE,,NY,10016.0
321,PARK AVENUE AND 32ND STREET BRANCH,2 PARK AVENUE,,NY,10016.0
322,SECOND AVE AND 28TH ST,501 SECOND AVENUE,New York,NY,10016.0
323,MADISON AVE AND 38TH ST BRANCH,260 MADISON AVE,New York,NY,10016.0
324,31ST AND PARK AVENUE BRANCH,460 PARK AVENUE S,New York,NY,10016.0
325,THIRD AVENUE & 41ST STREET BRANCH,633 THIRD AVENUE,New York,NY,10017.0
326,MADISON AVE ABD 48TH ST BRANCH,401 MADISON AVENUE,New York,NY,10017.0
327,GRAND CENTRAL PLACE,60 EAST 42ND STREET,New York,NY,10017.0
328,FIRST AVE AND 44TH ST BRANCH,1 UNITED NATIONS PLAZA,New York,NY,10017.0
329,MADISON AND 48TH ST BRANCH,401 MADISON AVENUE,New York,NY,10017.0
330,SECOND AVENUE AND 43RD STREET BRANCH,801 2ND AVENUE,New York,NY,10017.0
331,45TH & LEXINGTON BRANCH,466 LEXINGTON AVE.,New York,NY,
332,40TH AND LEXINGTON BRANCH,355 LEXINGTON AVENUE,New York,NY,10017.0
333,GARMENT CENTER BRANCH,1411 BROADWAY,New York,NY,10018.0
334,PORT AUTHORITY BANKING CENTER BRANCH,615 8TH AVENUE,New York,NY,10018.0
335,37TH & SEVENTH BRANCH,498 7TH AVE,New York,NY,10018.0
336,AVENUE OF THE AMERICAS BRANCH,1370 AVENUE OF THE AMERICAS,New York,NY,10019.0
337,NEW YORK COLISEUM BRANCH,10 COLUMBUS CIRCLE,New York,NY,10019.0
338,NINTH AVENUE & 55TH STREET BRANCH,839 9TH AVENUE,New York,NY,10019.0
339,SEVENTH AVE. AND 53RD STREET BKG. CTR. BRANCH,810 7TH AVENUE,New York,NY,10019.0
340,CARNEGIE HALL BANKING CENTER BRANCH,171 WEST 57TH STREET,New York,NY,10019.0
341,RADIO CITY BRANCH,51 WEST 51ST STREET,New York,NY,10019.0
342,COLUMBUS CIRCLE BANKING CENTER BRANCH,1775 BROADWAY,New York,NY,10019.0
343,EXXON BUILDING BRANCH,1251 AVENUE OF THE AMERICAS,New York,NY,10020.0
