branch_key,branch_name,branch_address,branch_city,branch_state,branch_zip
3227,reagan motor bank branch,500 WEST 20TH STREET,Harris,TX,77008.0
3228,reagon motor bank branch,500 WEST 20TH STREET,Harris,TX,77008.0
3229,north loop branch,1421 NORTH LOOP WEST,Harris,TX,77008.0
3230,the park branch,"1200 MCKINNEY, SUITE 433",Harris,TX,77010.0
3231,capitol branch,6816 CAPITOL,Harris,TX,77011.0
3232,i-10 east banking center branch,13706 EAST FREEWAY,Harris,TX,77015.0
3233,woodforest and uvalde branch,13378 WOODFORST BLVD,Harris,TX,77015.0
3234,gulf freeway branch,8411 GULF FREEWAY,Harris,TX,77017.0
3235,oak forest team branch,4320 ELLA BOULEVARD,Harris,TX,77018.0
3236,oak forest and w43rd st branch,1351 W 43RD,Harris,TX,77018.0
3237,shepherd & 34th banking cntr branch,3209 NORTH SHEPHERD DRIVE,Harris,TX,77018.0
3238,river oaks branch,1934 WEST GRAY STREET,Harris,TX,77019.0
3239,lyons and lockwood branch,1605 LOCKWOOD,Harris,TX,77020.0
3240,old spanish trail branch,3636 OLD SPANISH TRAIL,Harris,TX,77021.0
3241,airline branch,5207 AIRLINE DRIVE,Harris,TX,77022.0
3242,drive-in facility branch,5207 AIRLINE DRIVE,Harris,TX,77022.0
3243,memorial villages branch,9335 KATY FREEWAY,Harris,TX,77024.0
3244,town & country branch,12802 MEMORIAL DRIVE,Harris,TX,77024.0
3245,memorial city branch,12320 KINGSRIDE,Harris,TX,77024.0
3246,bellaire banking center branch,4056 BELLAIRE BOULEVARD,Harris,TX,77025.0
3247,south main branch,"8330 SOUTH MAIN STREET, SUITE 100",Harris,TX,77025.0
3248,highland village branch,2900 WESLAYAN,Harris,TX,77027.0
3249,west university branch,3203 SOUTHWEST FREEWAY,Harris,TX,77027.0
3250,northeast branch,8799 NORTH LOOP EAST,Harris,TX,77029.0
3251,medical branch,6560 FANNIN STREET,Harris,TX,77030.0
3252,fannin and braeswood branch,7007 FANNIN ST,Harris,TX,77030.0
