product_id,product_name,product_description
4146,ACCESORIOS ELECTRICOS,Audifonos marca SONY modelo 2X310 en blister
4147,ACCESORIOS ELECTRICOS,Audifonos marca PANASONIC modelo RP-HX250 en blister
4148,APARATOS ELECTRICOS,Plancha de vapor marca T-FAL modelo FV5375 en empaque de carton
4149,ARTICULOS DE FERRETERIA,Juego de puntas de mano marca TRUPER modelo JOY-30 en blister conteniendo 30 pzas
4150,ARTICULOS DE FERRETERIA,Pera de descarga marca COFLEX en blister conteniendo 1 pza
4151,ARTICULOS DE FERRETERIA,Adhesivo liquido marca RESISTOL en blister conteniendo 1 pza
4152,ARTICULOS DE FERRETERIA,Navaja retractil marca TRUPER en blister de plastico
4153,ARTICULOS DE FERRETERIA,Desarmador punta plana  marca TRUPER en blister de plastico
4154,ARTICULOS DE FERRETERIA,Sapito universal para desague de plastico marca ECONOFLAP modelo 9449 en empaque de carton
4155,ARTICULOS DE FERRETERIA,Cinta electrica marca SCOTCH modelo 33 en empaque de plastico conteniendo 1 rollo
4156,ARTICULOS DE FERRETERIA,Pegamento instantaneo marca KOLA LOKA en empaque tipo blister cont. net. 2 g
4157,ARTICULOS DE FERRETERIA,Cinchos de plastico marca C N modelo 134000136 en empaque de plastico
4158,ARTICULOS DE FERRETERIA,Cutter marca AKRON en blister conteniendo 3 cuchillas
4159,ARTICULOS DE FERRETERIA,Juego desarmadores combinados marca ADIR modelo 117 en caja de carton conteniendo 8 pzas
4160,ARTICULOS DE FERRETERIA,Juego de pinzas marca ADIR modelo 455 en blsiter conteniendo 4 pzas
4161,HERRAMIENTAS,Desarmadores marca PRETUL modelo J-DIMP-7 en una presentaciÑn de blister conteniendo 7 piezas
4162,HERRAMIENTAS,Pinza de corte diagonal marca MAXTOOL en una presentaciÑn de blister
4163,PINTURAS  (MATERIALES PARA CONST),"Brocha marca SIN ESPECIFICAR cerdas 100% natural de 1 1/2"" en una presentaciÑn de bolsa de plastico"
4164,TINTAS,Toner negro marca CANON modelo GPK18-1K2016/2020 en una presentaciÑn de caja de cartÑn
4165,TINTAS,Cartucho de toner marca LEXMARK modelo 240185L en una presentaciÑn de caja de cartÑn
4166,TINTAS,Toner negro marca CANON modelo 118 en una presentaciÑn de caja de cartÑn
4167,APARATOS ELECTRICOS,Supresor de picos marca COMPLET modelo brg-1-005 en una presentaciÑn de blister de energia confiable con 8 contactos
4168,APARATOS ELECTRICOS,Regulador marca COMPLET de voltaje modelo ERV-6-001 en una presentaciÑn de caja de cartÑn
4169,APARATOS ELECTRICOS,Regulador de alto voltaje marca COMPLET modelo ERV-9-002 en una presentaciÑn de caja de cartÑn
4170,APARATOS ELECTRICOS,Supresor de picos marca COMPLET modelo BRG-1-005 con energia confiable con 8 contactos en una presentaciÑn de blister. Certificado de especificaciones de seguridad no. 1402CE14070
4171,APARATOS ELECTRICOS,Regulador de voltaje marca COMPLET modelo ERV-6-001 en una presentaciÑn de caja de cartÑn. Certificado de especificaciones de seguridad no. 1402CE05405
4172,APARATOS ELECTRICOS,Regulador de voltaje marca COMPLET modelo ERV-9-002 en una presentaciÑn de caja de cartÑn. Certificado de especificaciones de seguridad no. 1402CE01877
4173,APARATOS ELECTRICOS,Telefono alambrico marca STEREN modelo tel_2490 en una presentaciÑn de caja de cartÑn
4174,APARATOS ELECTRICOS,Telefono inalambrico marca STEREN modelo tel_2492 en una presentaciÑn de caja de cartÑn
4175,APARATOS ELECTRICOS,Telefono alambrico marca STEREN modelo tel_2490 en una presentaciÑn de caja de cartÑn. Certificado de especificaciones de seguridad no. 1402CE10248
4176,APARATOS ELECTRICOS,Telefono inalambrico marca STEREN modelo tel_2492 en una presentaciÑn de caja de cartÑn. Certificado de especificaciones de seguridad no. 1402CE01696
4177,HERRAMIENTAS,Juego de desarmadores marca PRETUL modelo J-DEJ-6P en una presentaciÑn de blister
4178,ARTICULOS DE FERRETERIA,Juego de llaves marca PRETUL en una presentaciÑn de bolsa de plastico con un cont. neto de 1 juego
4179,HERRAMIENTAS,Desarmadores marca STANLEY en una presentaciÑn de blister conteniendo 1 juego de 6 piezas
4180,HERRAMIENTAS,Juego de desarmadores marca PRETUL modelo 22973 en una presentaciÑn de blister
4181,HERRAMIENTAS,Remachadora marca AKSI modelo201901 en una presentaciÑn de blister
4182,PINTURAS  (MATERIALES PARA CONST),Cinta adhesiva marca TRUPER modelo 12533 en una presentaciÑn de caja de cartÑn
4183,LINTERNAS,Linterna marca TRUPER modelo lile-11t en una presentaciÑn de blister
4184,LINTERNAS,Linterna marca TRUPER modelo lina-3dn en una presentaciÑn de blister
4185,HERRAMIENTAS,"Juego de coples y cometoras marca TRUPER tipo""m"" y tipo""f"" en una presentaciÑn de blister"
4186,ARTICULOS DE FERRETERIA,Hojas de sierra marca BOSCH modelo t101b en una presentaciÑn de blister conteniendo 50 piezas
