FECHA,IPP,IPC
2018-03-01,94.94861230546628,99.4921569805878
2018-04-01,94.90924585083349,99.15484704609648
2018-05-01,96.31795875717572,98.9940801730873
2018-06-01,97.368334304175,99.3764649317868
2018-07-01,96.728120840026,99.90909910451349
2018-08-01,96.6646559527005,100.492
2018-09-01,97.23193403942128,100.917
2018-10-01,97.59184488848742,101.44
2018-11-01,98.94297082192293,102.303
2018-12-01,99.3129311945878,103.02
2019-01-01,98.7821610012796,103.108
2019-02-01,98.80322289000792,103.079
2019-03-01,98.97996525491948,103.476
2019-04-01,99.3001895017086,103.531
2019-05-01,99.3787222503919,103.233
2019-06-01,99.7864092837386,103.299
2019-07-01,100.0,103.687
2019-08-01,99.4473048549283,103.67
2019-09-01,99.9605929587184,103.942
2019-10-01,99.6959963185864,104.503
