nodo,nodo_pr_score
108,0.0005811083601505229
178,0.00056443175813463
365,0.0005615402212376482
1057,0.0005598351954667862
240,0.0005571296767655479
37,0.0005520746513891739
96,0.0005515666356623095
142,0.000549414139654316
136,0.0005493390082427373
51,0.0005493281972310615
5042,0.0005415415690361808
377,0.0005408359906326572
282,0.0005373059737290966
61,0.000535121625481427
2490,0.0005331979995465693
881,0.0005271654353369378
4785,0.0005214145054860509
375,0.000520512346228918
1118,0.0005201525793962182
2384,0.0005177491761488399
113,0.0005175534939866359
154,0.0005115853703293601
2364,0.0005074148648886182
5237,0.0004964189714731686
522,0.0004951336939074745
208,0.0004947682413385075
132,0.0004944588989201036
1710,0.0004911886623353872
64,0.0004900194963625055
319,0.0004891260485275678
3370,0.0004882882748844266
210,0.00048543256515885764
98,0.0004790690411533635
291,0.0004787073126791835
12616,0.0004758091298897948
1633,0.0004695494453586772
133,0.00046954775701431507
150,0.00046270686323374703
498,0.0004587698087966245
115,0.0004581901046813094
461,0.00045054431148083205
93,0.0004475461033504367
5389,0.0004461066566908726
153,0.0004447497877904291
245,0.0004412268188802472
222,0.0004386624008780689
131,0.0004381242091473999
538,0.0004349292410097362
794,0.00043401849368520333
158,0.00043267201000424623
1282,0.0004245206151803112
2800,0.0004171164655021942
19,0.0004159687995566103
89,0.0004108852239824042
247,0.0004107443894232823
797,0.0004071841705724944
181,0.00040466372760584015
2487,0.0004046560294662252
400,0.0004038219972928249
119,0.00040334371516792983
1853,0.0004015392221781852
8,0.0004007812704002707
344,0.00039940377050151594
117,0.00039876873940362516
164,0.0003985999955584727
345,0.0003959982307939041
597,0.00039511497851276925
3876,0.0003944337446537056
332,0.00039267122585701433
1588,0.00039266683537919774
1749,0.0003925804459090441
5049,0.0003923053265211262
56,0.00039133858249352794
146,0.00039093982918387676
833,0.00039036615075300877
916,0.00038932893174131153
137,0.0003885081814675383
350,0.00038682338536042614
3047,0.0003864186079306094
3420,0.0003860814081681687
3206,0.00038498232703154645
140,0.0003847843913814286
545,0.00038459002122273356
34,0.00038347835768680387
2214,0.0003795633173450904
169,0.00037865935850798886
147,0.0003785393358570635
708,0.00037668219968916905
2939,0.0003730112865527402
167,0.0003727599552330741
2348,0.00037235674905030443
1384,0.0003699600441237633
526,0.00036486167621885946
109,0.0003648037564652045
856,0.000364327654426239
1799,0.000362748563895158
1922,0.0003625238239683717
1296,0.00036230346959543965
2284,0.00036217591735875017
1040,0.00036120841119544766
2775,0.0003605133821743767
435,0.00035815011462566297
683,0.00035762841934147677
1217,0.00035712863533672037
816,0.00035689546197153403
2929,0.0003564340968493587
399,0.0003558274843266385
735,0.0003543389432615508
1496,0.0003536293740186054
5704,0.0003519445047213448
1209,0.0003513856269156937
2408,0.00034875248940608724
1618,0.0003480038575744175
2833,0.0003471438999668192
402,0.00034505036002629286
1443,0.000344912409956463
52,0.00034454407793987397
1488,0.00034395399881487703
22,0.0003420651558991594
72,0.000340403134857726
216,0.000338163964042317
1010,0.0003366822818468123
1088,0.00033465139701477174
551,0.0003346244764685461
121,0.000334524466475358
1106,0.00033396863823740935
2529,0.00033348368201066575
4684,0.00033347607463202965
7780,0.0003331773734717575
1977,0.00033293055113578187
8795,0.0003288449391665747
1476,0.00032734731807939596
5884,0.00032644796142050923
1424,0.00032550493796707695
202,0.00032487723050654956
65,0.00032255462402003916
195,0.00032177934408275834
3433,0.00032131494095447114
1452,0.0003209414049053064
1140,0.0003208522923467019
4693,0.0003207808760558521
333,0.0003190073280730768
339,0.00031883922504974855
293,0.00031852827726746127
1060,0.00031807190518691046
194,0.0003177865710048585
1923,0.00031266313717137525
372,0.0003125303216702396
1994,0.00031236713601088384
3258,0.00031107094888545994
3236,0.00030969657954477343
1426,0.000309562404643068
4844,0.00030953888631328046
697,0.00030860542185086873
4663,0.0003072442322251407
792,0.0003069500071278289
1332,0.000306920019306488
3127,0.00030648938138211573
945,0.00030553496684464926
5412,0.00030516313040624847
2608,0.0003033716847229126
1968,0.0003020326341040295
2591,0.00030089115185798356
675,0.0003002508370455863
1096,0.00029990997708984366
4673,0.0002987144689893777
2744,0.0002980850954317001
2569,0.00029764406608350603
1690,0.00029680970037953587
447,0.000296684078975692
3445,0.00029546732006003744
183,0.0002930394119138619
159,0.0002926996461311198
127,0.00029164738737061667
4800,0.00029083639738435854
1533,0.00029068101553435987
1254,0.00028979266276063384
2807,0.0002896317640873582
3346,0.00028954440066187784
87,0.0002885325526825202
7,0.0002881399714862191
325,0.0002881390401115819
1827,0.00028666335510818276
10017,0.00028617275993542466
1273,0.0002861130891999161
1668,0.0002854725882948292
713,0.00028532518534145427
2088,0.0002848682229830995
2206,0.000283748922851405
7433,0.0002832071525158894
2029,0.0002827975440064103
1252,0.0002821086696325594
2473,0.0002813371889629515
2560,0.0002812859863403284
357,0.00028090394711317135
669,0.0002798449240487228
4978,0.0002776067170863976
748,0.00027716081532245363
1198,0.00027699723299414895
1359,0.00027680482130473566
5179,0.0002763393500950952
2423,0.0002754139014575754
1899,0.00027449977398737196
1423,0.0002732487300925983
5190,0.0002730387382150664
5099,0.0002723721987055935
406,0.00027117025033072695
174,0.0002694867695615675
1824,0.00026910211644698537
4442,0.0002684930990341314
414,0.00026789025045535915
2666,0.0002675174185857018
531,0.0002669887289281327
1770,0.0002659437797688581
1592,0.000264194050255444
502,0.0002634334170902504
3122,0.0002632390774790524
254,0.00026204354536358887
118,0.0002616041342034925
1547,0.0002607193321747986
166,0.0002605922489986
1706,0.00026010663918110054
1665,0.0002599782483867949
390,0.00025984417993050703
930,0.0002588609877699588
2763,0.0002581708851177742
6098,0.0002577078815180484
1822,0.0002566256824496352
791,0.00025619790837158607
723,0.0002558513534992491
1506,0.00025570129260081673
3054,0.00025559956552628196
1163,0.00025559112420718203
6261,0.0002553135273812682
835,0.0002546264972258713
2888,0.000254213398407748
5667,0.00025405608212735934
6145,0.00025396475437551325
770,0.00025388924189175194
3105,0.00025378858639052627
2472,0.0002534650113591716
807,0.00025301741990638936
4730,0.000252343817655446
1766,0.0002521968664292323
324,0.0002512367118345195
1422,0.00025116744625083224
1362,0.0002495417652112315
3083,0.00024953203264408574
2781,0.00024909132218264336
