clave,titulo,artista,genero,anio,agregado,bpm,energia,baile,deciBeles,vivo,val,duracion,acustica,palabra,pop,pais
913,<U+541B><U+306F><U+30ED><U+30C3><U+30AF><U+3092><U+8074><U+304B><U+306A><U+3044>,Aimyon,j-acoustic,2017,31/12/1969,100,69,52,-4,17,62,246,0,3,69,japan
926,<U+594F>(<U+304B><U+306A><U+3067>),Sukima Switch,j-pop,2004,31/12/1969,150,67,52,-6,9,46,329,55,3,66,japan
950,<U+5C0F><U+3055><U+306A><U+604B><U+306E><U+3046><U+305F>,MONGOL800,j-pop,2001,31/12/1969,116,78,40,-5,23,63,223,0,4,0,japan
947,<U+611B><U+3092><U+3053><U+3081><U+3066><U+82B1><U+675F><U+3092>,Superfly,j-pop,2017,31/12/1969,162,83,34,-3,7,42,297,10,5,47,japan
927,<U+611B><U+3092><U+4F1D><U+3048><U+305F><U+3044><U+3060><U+3068><U+304B>,Aimyon,j-acoustic,2017,31/12/1969,100,85,67,-5,9,79,235,3,3,66,japan
946,<U+611B><U+5504>,GReeeeN,j-pop,2015,31/12/1969,170,78,50,-4,19,45,237,11,3,48,japan
917,<U+6253><U+4E0A><U+82B1><U+706B>,DAOKO×<U+7C73><U+6D25><U+7384><U+5E2B>,j-pop,2017,31/12/1969,96,67,63,-4,11,29,290,29,2,68,japan
941,<U+65B0><U+5B9D><U+5CF6>,Sakanaction,j-pop,2019,31/12/1969,158,92,55,-3,35,65,305,0,7,53,japan
921,<U+70B9><U+63CF><U+306E><U+5504>,Mrs. GREEN APPLE,anime rock,2018,31/12/1969,152,63,50,-5,10,31,307,45,3,67,japan
925,<U+7A7A><U+306E><U+9752><U+3055><U+3092><U+77E5><U+308B><U+4EBA><U+3088>,Aimyon,j-acoustic,2019,31/12/1969,108,71,57,-2,31,63,305,18,3,66,japan
929,<U+9752><U+3068><U+590F>,Mrs. GREEN APPLE,anime rock,2019,31/12/1969,185,89,31,-2,28,75,270,0,5,65,japan
912,<U+9AD8><U+5DBA><U+306E><U+82B1><U+5B50><U+3055><U+3093>,back number,j-pop,2014,31/12/1969,138,92,54,-3,12,34,295,7,6,69,japan
758,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,31/12/1969,90,63,65,-5,11,43,168,15,3,93,indonesia
967,"10,000 Hours ",Dan + Shay,contemporary country,2019,31/12/1969,90,63,65,-5,11,43,168,15,3,93,malasya
777,100 Degrees,Rich Brian,indonesian hip hop,2019,31/12/1969,81,65,76,-5,52,66,166,12,7,77,indonesia
533,105 F Remix,KEVVO,perreo,2019,31/12/1969,100,75,90,-7,29,74,464,37,16,83,chile
585,105 Remix,KEVO,perreo,2019,31/12/1969,100,75,90,-7,29,74,464,37,16,83,spain
910,115<U+4E07><U+30AD><U+30ED><U+306E><U+30D5><U+30A3><U+30EB><U+30E0>,Official HIGE DANdism,anime rock,2018,31/12/1969,97,79,51,-2,14,48,325,0,3,71,japan
435,200 km/h,Apache 207,german hip hop,2019,31/12/1969,148,67,90,-6,11,41,163,27,16,79,germany
191,2000 Miles - 2007 Remaster,Pretenders,album rock,1984,31/12/1969,66,71,22,-9,10,45,220,0,4,78,australia
314,3 Batidas - Ao Vivo,Guilherme & Benuto,sertanejo pop,2019,31/12/1969,118,71,55,-5,76,53,157,61,13,82,brazil
923,366<U+65E5>,HY,j-pop,2008,31/12/1969,152,43,38,-7,21,18,353,68,3,66,japan
814,7 rings,Ariana Grande,dance pop,2019,31/12/1969,140,32,78,-11,9,33,179,59,33,92,israel
199,8 Days of Christmas,Destiny's Child,dance pop,1999,31/12/1969,100,84,69,-1,6,64,210,5,19,67,australia
728,8 Parche,Baani Sandhu,punjabi pop,2019,31/12/1969,174,86,65,-2,20,73,210,16,21,68,india
687,93% [Tijuana],GLK,francoton,2019,31/12/1969,136,69,80,-5,18,80,223,62,6,73,france
329,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,31/12/1969,119,88,54,-3,93,63,183,72,10,80,brazil
591,A Dónde Vamos,Morat,colombian pop,2019,31/12/1969,149,61,63,-13,23,96,203,1,4,77,spain
338,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,31/12/1969,134,94,79,-2,96,83,238,37,3,78,brazil
44,A Holly Jolly Christmas - Single Version,Burl ,adult estandares,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,world
82,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,africa
183,A Holly Jolly Christmas - Single Version,Burl Ives,adult,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,australia
242,A Holly Jolly Christmas - Single ,Burl I.,adult stand.,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,belgium
389,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,canada
637,A Holly Jolly Christmas ,Burl Ives,a. stand.,1998,31/12/1969,140,37,67,-13,10,86,133,59,3,83,usa
299,Adan y Eva,Paulo Londra,argentine hip hop,2019,31/12/1969,172,71,77,-4,7,72,257,32,34,76,bolivia
108,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,31/12/1969,80,84,73,-5,18,62,271,2,7,92,argentina
260,Adicto,Tainy,pop reggaeton,2019,31/12/1969,80,84,73,-5,18,62,271,2,7,92,bolivia
459,Adicto (with Anuel AA & Ozuna),Tainy,pop regg.,2019,31/12/1969,80,84,73,-5,18,62,271,2,7,92,colombia
509,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,31/12/1969,80,84,73,-5,18,62,271,2,7,92,chile
560,A. (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,31/12/1969,80,84,73,-5,18,62,271,2,7,92,spain
486,Adonay,Rodolfo Aicardi,classic colombian pop,2014,31/12/1969,118,66,76,-6,6,97,187,67,5,54,colombia
176,Adore u,Harry Styles,dance,2019,31/12/1969,99,77,68,-4,10,57,207,2,5,87,australia
984,Adore You,Harry St.,dance pop,2019,31/12/1969,99,77,68,-4,10,57,207,2,5,87,malasya
783,Adu Rayu,Yovie Widianto,indonesian pop,2019,31/12/1969,100,37,56,-12,11,22,208,60,5,75,indonesia
335,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,sertanejo universitario,2019,31/12/1969,136,68,83,-5,41,85,174,48,7,79,brazil
98,Akulaleki,Samthing Soweto,afro house,2019,31/12/1969,116,67,90,-9,6,34,382,14,9,45,africa
331,Algo Mais (Amante) - Ao Vivo,Xand Avião,funk carioca,2019,31/12/1969,140,84,70,-3,75,67,232,28,6,80,brazil
480,Alguien Me Gusta,Andy Rivera,latin,2019,31/12/1969,93,52,67,-4,37,81,169,45,4,70,colombia
549,Algún Día Volveras,Santaferia,cumbia chilena,2018,31/12/1969,94,71,65,-4,5,69,254,37,3,68,chile
433,Alien,RIN,german cloud rap,2019,31/12/1969,138,60,84,-6,11,85,209,30,6,80,germany
5,All I Want for Christmas Is You,M.C.,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,world
55,All I Want for Christmas Is You,M.C.,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,africa
155,All I Want for Christmas Is You,M.C.,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,australia
205,All I Want for Christmas Is You,M.C.,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,belgium
252,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,bolivia
353,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,canada
403,All I Want for Christmas Is You,Mariah,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,germany
502,All I Want for Christmas Is You,Mariah,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,chile
553,All I Want for Xmas Is You,Mariah,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,spain
603,All I Want for Xmas Is You,Mariah,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,usa
654,All I Want for Christmas Is U,Mariah,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,france
854,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,italy
901,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,japan
955,All I Want for Xmas Is U,Mariah C.,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,malasya
579,Alocao (With Bad Gyal),Omar Montes,trap espanol,2019,31/12/1969,178,75,67,-5,11,70,209,21,6,84,spain
292,Amor a Primera Vista,Los Angeles Azules,grupera,2019,31/12/1969,170,76,66,-6,41,95,221,32,6,81,bolivia
898,ANSIA NO,FSK SATELLITE,italian hip hop,2019,31/12/1969,160,68,82,-7,22,71,149,15,56,73,italy
788,April,Fiersa Besari,indonesian indie,2014,31/12/1969,80,47,36,-8,19,57,264,59,3,72,indonesia
684,Aristocrate,Heuss L'enfoiré,french hip hop,2019,31/12/1969,117,61,94,-6,10,63,170,27,7,74,france
290,Atrévete,Nicky Jam,latin,2019,31/12/1969,184,68,55,-4,12,59,198,31,30,83,bolivia
342,Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,31/12/1969,110,81,61,-5,42,45,190,52,4,77,brazil
689,Avant toi,Vitaa,francoton,2019,31/12/1969,142,40,63,-9,10,25,224,88,3,72,france
115,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,argentina
268,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,bolivia
466,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,colombia
514,Aventura,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,chile
564,Avent.,Lunay,latin,2019,31/12/1969,92,73,73,-3,10,88,217,22,4,90,spain
489,Aventurero,Yeison Jimenez,colombian pop,2019,31/12/1969,93,63,85,-4,13,90,190,51,3,54,colombia
413,Ayy Macarena,Tyga,pop rap,2019,31/12/1969,96,63,82,-6,7,72,132,13,23,90,germany
865,Ayy Macarena,Tyga,pop rap,2019,31/12/1969,96,63,82,-6,7,72,132,13,23,90,italy
534,B11 (feat. Myke Towers),Rvssian,latin,2019,31/12/1969,100,72,76,-5,13,20,252,7,12,83,chile
583,B11 (feat. Myke Towers),Rvssian,latin,2019,31/12/1969,100,72,76,-5,13,20,252,7,12,83,spain
186,Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,hollywood,2014,31/12/1969,113,48,55,-9,28,56,166,65,6,81,australia
384,"Baby, It's Cold Outside",Brett Eldredge,contemporary country,2016,31/12/1969,114,57,58,-5,27,68,174,74,4,85,canada
395,"Baby, It's Cold Outs.",Dean Martin,adult standards,1959,31/12/1969,130,20,47,-16,5,54,144,88,6,79,canada
644,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,31/12/1969,130,20,47,-16,5,54,144,88,6,79,usa
210,bad guy,Billie E.,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,belgium
706,bad guy,Billie Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,india
808,bad guy,B. Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,israel
902,bad guy,B. Eilish,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,japan
963,bad guy,Billie E.,electropop,2019,31/12/1969,135,43,70,-11,10,56,194,33,38,96,malasya
675,Baianá,Bakermat,deep euro house,2019,31/12/1969,122,76,50,-7,33,49,182,0,5,77,france
606,Bandit (with YoungBoy Never Broke Again),Juice WRLD,chicago rap,2019,31/12/1969,180,63,47,-6,13,43,189,7,34,94,usa
887,Barrio,Mahmood,italian arena pop,2019,31/12/1969,122,70,80,-7,11,57,165,6,7,77,italy
677,Bâtiment,Niska,french hip hop,2019,31/12/1969,168,70,66,-7,7,65,211,29,14,76,france
77,Beautiful People ,Ed Sheeran,pop,2019,31/12/1969,93,65,64,-8,8,55,198,12,19,86,africa
