clave,titulo,artista,genero,anio,agregado,bpm,energia,baile,deciBeles,vivo,val,duracion,acustica,palabra,pop,pais
291,Loco,Beéle,NA,2019,31/12/1969,105,56,82,-6,5,77,204,16,17,82,bolivia
673,Loin de moi,Naza,francoton,2019,31/12/1969,97,46,89,-8,6,50,144,64,24,77,france
490,Loquito por Ti,Armando Hernandez,chicha,2012,31/12/1969,107,76,79,-4,5,86,287,41,12,54,colombia
95,Lorch,Kabza De Small,afro house,2019,31/12/1969,113,68,91,-10,7,41,375,17,6,50,africa
483,Los sabanales,Calixto Ochoa,cumbia,1971,31/12/1969,124,70,80,-6,3,78,162,10,4,58,colombia
959,Lose You To Love Me,Selena Gomez,dance pop,2019,31/12/1969,102,34,51,-9,21,9,206,58,4,97,malasya
100,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",Mfr Souls,afro house,2019,31/12/1969,115,68,82,-8,6,68,353,5,5,37,africa
982,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,pop,2019,31/12/1969,205,60,45,-7,9,42,221,43,6,88,malasya
775,lowkey,NIKI,indie r&b,2019,31/12/1969,118,49,75,-8,9,23,171,43,6,78,indonesia
812,Lucid Dreams,Juice WRLD,chicago rap,2018,31/12/1969,84,57,51,-7,34,22,240,35,20,94,israel
882,m12ano - feat. Mara Sattei,tha Supreme,trap italiana,2019,31/12/1969,65,51,58,-6,8,48,188,4,4,78,italy
899,m8nstar,tha Supreme,trap italiana,2019,31/12/1969,165,76,58,-6,11,44,165,5,4,73,italy
679,Ma belle,Moha La Squale,french hip hop,2019,31/12/1969,82,66,74,-6,9,47,158,76,6,76,france
692,Ma vie,Dadju,francoton,2019,31/12/1969,201,50,51,-8,16,32,209,12,8,68,france
940,Machigaisagashi,Masaki Suda,anime rock,2019,31/12/1969,156,64,53,-6,39,44,224,52,4,53,japan
718,Makhna,Tanishk Bagchi,desi pop,2019,31/12/1969,125,70,70,-8,16,43,183,17,4,73,india
682,Maman ne le sait pas (feat. Niska),Ninho,french hip hop,2019,31/12/1969,145,88,76,-6,12,39,203,40,19,75,france
546,Mami,Paloma Mami,latin pop,2019,31/12/1969,95,72,80,-6,17,51,195,15,5,73,chile
686,Marie,Koba LaD,french hip hop,2019,31/12/1969,132,75,78,-6,12,68,195,12,4,74,france
194,Mary's Boy Child / Oh My Lord,Boney M.,disco,2017,31/12/1969,113,72,78,-9,20,93,241,28,4,75,australia
674,Mayday (feat. Ninho),SCH,french hip hop,2019,31/12/1969,152,60,61,-8,9,25,210,61,36,77,france
142,Me Vas a Extrañar - En Vivo,Damas Gratis,cumbia villera,2018,31/12/1969,88,81,42,-5,70,64,239,32,4,71,argentina
761,Mean It,Lauv,pop,2019,31/12/1969,96,45,75,-9,17,34,233,4,9,89,indonesia
685,Méchant,Niska,french hip hop,2019,31/12/1969,98,80,53,-4,37,41,191,33,34,74,france
642,Mele Kalikimaka (Merry Christmas),Bing Crosby,adult standards,1945,31/12/1969,202,22,50,-12,28,62,175,65,9,82,usa
952,Memories,Maroon 5,pop,2019,31/12/1969,91,32,76,-7,8,57,189,84,5,99,malasya
320,menina solta,Giulia Be,pop nacional,2019,31/12/1969,92,56,63,-7,16,67,150,33,8,82,brazil
738,"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,31/12/1969,136,64,38,-6,22,65,193,56,4,64,india
446,Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,31/12/1969,102,71,76,-10,8,96,224,16,3,69,germany
437,Merry Xmas Everybody,Slade,album rock,1973,31/12/1969,130,80,41,-3,18,47,223,22,4,79,germany
344,"Mil Anos - Recorded At Mosh Studios, São Paulo",Jorge & Mateus,sertanejo,2019,31/12/1969,135,70,62,-8,8,45,189,29,7,74,brazil
997,Mimpi (feat. Alif),K-Clique,malaysian indie,2019,31/12/1969,150,73,83,-7,10,87,253,53,29,66,malasya
970,Mistletoe,Justin Bieber,canadian pop,2011,31/12/1969,162,56,66,-9,8,85,183,50,5,92,malasya
643,Mistletoe And Holly - Remastered 1999,Frank Sinatra,adult standards,1957,31/12/1969,110,10,61,-14,8,34,136,80,4,81,usa
440,Mit Dir,Loredana,kosovan pop,2019,31/12/1969,196,53,75,-6,6,64,158,16,34,75,germany
693,Mortel,Koba LaD,french hip hop,2019,31/12/1969,154,69,58,-6,10,66,204,15,46,67,france
667,Moulaga,Heuss L'enfoiré,french hip hop,2019,31/12/1969,125,70,71,-5,10,48,180,33,10,79,france
748,"Mummy Nu Pasand (From ""Jai Mummy Di"")",Sunanda Sharma,desi pop,2019,31/12/1969,94,97,78,0,35,80,185,1,11,57,india
744,"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,desi pop,2019,31/12/1969,120,91,80,-3,39,54,176,2,9,61,india
710,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,31/12/1969,105,49,72,-6,9,38,171,2,3,91,india
423,My Only Wish (This Year),Britney Spears,dance pop,2019,31/12/1969,147,73,67,-7,20,68,255,23,3,84,germany
735,"Naah Goriye (From ""Bala"")",B Praak,desi pop,2019,31/12/1969,100,77,82,-2,6,72,185,46,6,67,india
91,Nana Thula,Kabza De Small,afro house,2019,31/12/1969,114,52,77,-14,4,59,439,0,5,52,africa
548,"Navidad, Navidad",Luis Miguel,bolero,2006,31/12/1969,173,84,52,-4,16,75,155,36,15,69,chile
